"","tstep","year","month","btemp","stemp","rec"
"791",923,2056,11,7.41479803625897,8.61086290025831,1
"792",924,2056,12,6.66622941185646,7.41295171051061,1
"793",925,2057,1,5.4127351662817,5.71757443978738,1
"794",926,2057,2,5.28029423645646,5.67209657190556,0.940811263183531
"795",927,2057,3,5.13160680046314,5.51498786076718,0.992994723404714
"796",928,2057,4,5.17816176076285,5.48437773841348,0.998149311331746
"797",929,2057,5,5.76482528410434,7.87888795927507,1
"798",930,2057,6,6.46587730016456,10.713335961576,1
"799",931,2057,7,7.12187815605269,13.6087292188573,1
"800",932,2057,8,7.68668316524069,14.4201303784772,1
"801",933,2057,9,8.13199448306121,13.0473318052889,1
"802",934,2057,10,8.40939633609591,10.9627121949759,1
"803",935,2057,11,7.83093739528138,9.24056941926893,1
"804",936,2057,12,7.43192958853907,8.29108167550488,1
"805",937,2058,1,5.72148115485746,6.22226213228993,1
"806",938,2058,2,4.75888125282476,5.02743001710268,0.953114519193658
"807",939,2058,3,4.43184303046045,4.67465650684698,0.988403608670788
"808",940,2058,4,4.39410536052468,4.89411865414479,0.997879329000114
"809",941,2058,5,5.14798657076482,7.46674185050571,1
"810",942,2058,6,5.95068311873825,10.8897620501084,1
"811",943,2058,7,6.72034940119306,14.5784191981454,1
"812",944,2058,8,7.43307356719718,15.3815224671078,1
"813",945,2058,9,7.81962478278108,13.3961604697602,1
"814",946,2058,10,7.97609183090044,10.8720597651649,1
"815",947,2058,11,7.33215023384833,8.41054643465492,1
"816",948,2058,12,6.96948134261553,7.54237620604023,1
"817",949,2059,1,6.03082185512801,6.55396994655959,1
"818",950,2059,2,5.66137973527075,6.23847033967913,0.900637538666783
"819",951,2059,3,5.46535251099489,6.05201065078042,0.998637642115488
"820",952,2059,4,5.55676236440665,6.08482480616275,0.982454351581628
"821",953,2059,5,6.10321205592109,8.58981474382735,1
"822",954,2059,6,6.72920265945415,11.1257685537792,1
"823",955,2059,7,7.28704261569827,14.0963944546983,1
"824",956,2059,8,7.84085660049112,15.4317918114492,1
"825",957,2059,9,8.15320042801872,13.9861717420724,1
"826",958,2059,10,8.2277280668313,11.072799214119,1
"827",959,2059,11,7.58004400067287,9.07823333947506,1
"828",960,2059,12,6.93596408703629,7.6678738739936,1
"829",961,2060,1,5.74626873483225,6.12775842532978,1
"830",962,2060,2,4.91452879670314,5.21240838068212,0.776649478055313
"831",963,2060,3,4.49238053889169,4.74409254002903,0.800734893910741
"832",964,2060,4,4.67489845537926,5.15141773979189,0.76296560941737
"833",965,2060,5,5.36856927806608,7.7394614378696,1
"834",966,2060,6,6.09833484523647,10.0899505892765,1
"835",967,2060,7,6.77578847449636,13.0858932091315,1
"836",968,2060,8,7.3476273617205,14.2153922493056,1
"837",969,2060,9,7.76938128640704,13.4824893509358,1
"838",970,2060,10,7.84349040631038,10.7355222807614,1
"839",971,2060,11,7.41699661919612,8.74821542856781,1
"840",972,2060,12,6.6636577376033,7.04655323544196,1
"841",973,2061,1,5.84790197347372,6.15656874193804,1
"842",974,2061,2,5.83851165012645,6.42538224455546,0.74513529455488
"843",975,2061,3,5.81037205259142,6.49986559560102,0.884676529863735
"844",976,2061,4,5.86312115451176,6.614959201463,0.864858758559501
"845",977,2061,5,6.41834724446137,9.78722328787231,1
"846",978,2061,6,7.08978012414743,12.2358774896987,1
"847",979,2061,7,7.68487117750265,15.2676331504571,1
"848",980,2061,8,8.27191260567837,16.8434245620034,1
"849",981,2061,9,8.65443884735711,14.7387287865807,1
"850",982,2061,10,8.70240803017552,11.3676310879769,1
"851",983,2061,11,8.12595429017277,9.50492480976456,1
"852",984,2061,12,7.40795453051431,8.14568586483449,1
"853",985,2062,1,6.02859965071775,6.59466380020773,1
"854",986,2062,2,5.53890666795751,6.04462769719658,0.895027212291988
"855",987,2062,3,5.01981250190516,5.44770789218579,0.953255361594768
"856",988,2062,4,5.11148532439535,5.59457927255573,0.909253252305133
"857",989,2062,5,5.73140335447576,7.78403236654015,1
"858",990,2062,6,6.39095520028726,10.0722029379401,1
"859",991,2062,7,7.07904381452708,13.3561575896026,1
