"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2010-12-16,2010,12,5.74685441933195
"ssp126","Bottom",2011-01-16,2011,1,5.3885725150476
"ssp126","Bottom",2011-02-14,2011,2,5.11619024241062
"ssp126","Bottom",2011-03-16,2011,3,4.87411158861305
"ssp126","Bottom",2011-04-15,2011,4,4.7464602021456
"ssp126","Bottom",2011-05-16,2011,5,4.84076137317951
"ssp126","Bottom",2011-06-15,2011,6,4.95251142538893
"ssp126","Bottom",2011-07-16,2011,7,5.22033070109857
"ssp126","Bottom",2011-08-16,2011,8,5.60608600655725
"ssp126","Bottom",2011-09-15,2011,9,6.14439353477034
"ssp126","Bottom",2011-10-16,2011,10,6.32374569614876
"ssp126","Bottom",2011-11-15,2011,11,6.03879127299585
"ssp126","Bottom",2011-12-16,2011,12,5.73104144902058
"ssp126","Bottom",2012-01-16,2012,1,5.49126055463817
"ssp126","Bottom",2012-02-15,2012,2,5.05932584137188
"ssp126","Bottom",2012-03-16,2012,3,4.91136073917184
"ssp126","Bottom",2012-04-15,2012,4,5.01303360868248
"ssp126","Bottom",2012-05-16,2012,5,5.09003024364333
"ssp126","Bottom",2012-06-15,2012,6,5.33779584341446
"ssp126","Bottom",2012-07-16,2012,7,5.53633905674851
"ssp126","Bottom",2012-08-16,2012,8,5.65682354624806
"ssp126","Bottom",2012-09-15,2012,9,5.88143058463534
"ssp126","Bottom",2012-10-16,2012,10,5.93667581311424
"ssp126","Bottom",2012-11-15,2012,11,6.02624312951645
"ssp126","Bottom",2012-12-16,2012,12,5.71183871464042
"ssp126","Bottom",2013-01-16,2013,1,5.48568734089018
"ssp126","Bottom",2013-02-14,2013,2,5.3069287006951
"ssp126","Bottom",2013-03-16,2013,3,5.12733638243633
"ssp126","Bottom",2013-04-15,2013,4,5.05253598735399
"ssp126","Bottom",2013-05-16,2013,5,5.14235940557856
"ssp126","Bottom",2013-06-15,2013,6,5.3486558906883
"ssp126","Bottom",2013-07-16,2013,7,5.41411992089057
"ssp126","Bottom",2013-08-16,2013,8,5.53434851518633
"ssp126","Bottom",2013-09-15,2013,9,5.95234412733252
"ssp126","Bottom",2013-10-16,2013,10,6.21015083984466
"ssp126","Bottom",2013-11-15,2013,11,6.05039760902694
"ssp126","Bottom",2013-12-16,2013,12,5.82157624079966
"ssp126","Bottom",2014-01-16,2014,1,5.7491901144835
"ssp126","Bottom",2014-02-14,2014,2,5.60048679304826
"ssp126","Bottom",2014-03-16,2014,3,5.43170739413256
"ssp126","Bottom",2014-04-15,2014,4,5.39548187155031
"ssp126","Bottom",2014-05-16,2014,5,5.45581184830389
"ssp126","Bottom",2014-06-15,2014,6,5.58961173086584
"ssp126","Bottom",2014-07-16,2014,7,5.72100767411305
"ssp126","Bottom",2014-08-16,2014,8,5.9653266979574
"ssp126","Bottom",2014-09-15,2014,9,6.0541760337671
"ssp126","Bottom",2014-10-16,2014,10,6.448844237989
"ssp126","Bottom",2014-11-15,2014,11,6.56228276758267
"ssp126","Bottom",2014-12-16,2014,12,6.62603086347772
"ssp126","Bottom",2015-01-16,2015,1,6.21632184683329
"ssp126","Bottom",2015-02-14,2015,2,5.88599343562717
"ssp126","Bottom",2015-03-16,2015,3,5.55663507555169
"ssp126","Bottom",2015-04-15,2015,4,5.61178391809323
"ssp126","Bottom",2015-05-16,2015,5,5.48097065892649
